CHROMATOGRAM,
p6_e9_gudca_ep_bsh101_48h.raw,
Data points: 2447,
Time,Intensity
0.003724169,0
0.008355418,0
0.011501152,0
0.013826135,0
0.016149035,0
0.018474018,0
0.020796902,0
0.023119818,0
0.025444817,0
0.027767701,0
0.030090601,0
0.032415568,0
0.034738484,0
0.037063467,0
0.049332133,0
0.05356125,0
0.055884186,0
0.058209168,0
0.060532052,0
0.062854933,0
0.065179935,0
0.067502851,0
0.069827802,0
0.072150702,0
0.074473635,0
0.076798601,0
0.079121517,0
0.081444402,0
0.0837694,0
0.0860923,0
0.088417267,0
0.093254752,0
0.095577652,0
0.097902619,0
0.10022552,0
0.10254844,0
0.10487342,0
0.1071963,0
0.10952127,0
0.1118442,0
0.1141671,0
0.11649208,0
0.11881498,0
0.12113788,0
0.12346287,0
0.12578575,0
0.12811075,0
0.13043365,0
0.13275658,0
0.13508153,0
0.13740445,0
0.13972733,0
0.1420523,0
0.1443752,0
0.1467002,0
0.1490231,0
0.151346,0
0.153671,0
0.15599389,0
0.15831678,0
0.16064175,0
0.16296465,0
0.16528965,0
0.16761255,0
0.16993543,0
0.17226042,0
0.17710623,0
0.17943122,0
0.1817541,0
0.18407702,0
0.18640202,0
0.1887249,0
0.19104988,0
0.19337279,0
0.1956957,0
0.19802067,0
0.20034357,0
0.20266647,0
0.20499145,0
0.20731434,0
0.2128143,0
0.22170383,0
0.22593923,0
0.22826212,0
0.2305871,0
0.23291,0
0.23523288,0
0.23755788,0
0.23988082,0
0.24220579,0
0.24452868,0
0.24685157,0
0.24917657,0
0.25149945,0
0.25382235,0
0.25614733,0
0.2609869,0
0.2633098,0
0.26563478,0
0.26795768,0
0.27028267,0
0.27260555,0
0.27492847,0
0.27725343,0
0.27957635,0
0.28189923,0
0.28422422,0
0.28654715,0
0.2888721,0
0.29119502,0
0.29351792,0
0.2958429,0
0.2981658,0
0.3004887,0
0.30281368,0
0.30513658,0
0.30746157,0
0.30978445,0
0.31210737,0
0.31443235,0
0.31675525,0
0.31907817,0
0.32140313,0
0.32372605,0
0.32604893,0
0.3283739,0
0.33069682,0
0.3330218,0
0.33534473,0
0.3376676,0
0.34251555,0
0.34483838,0
0.34716335,0
0.34948625,0
0.35181125,0
0.35413415,0
0.35645707,0
0.35878203,0
0.36110495,0
0.36342783,0
0.3657528,0
0.36807572,0
0.3704007,0
0.37272362,0
0.37504652,0
0.37737147,0
0.38287145,0
0.38710684,0
0.39938397,0
0.40253172,0
0.41816702,0
0.43497732,0
0.45217512,0
0.46913543,0
0.4868332,0
