CHROMATOGRAM,
IM5.raw,
Data points: 2986,
Time,Intensity
0.003742098,0
0.008364983,0
0.011502416,0
0.013825297,0
0.016150279,0
0.018473179,0
0.02079608,0
0.023121046,0
0.025443998,0
0.027768929,0
0.030091849,0
0.032414765,0
0.034739748,0
0.037062612,0
0.042562599,0
0.04679383,0
0.049116714,0
0.051441681,0
0.053764613,0
0.056087513,0
0.058412464,0
0.063922865,0
0.068154096,0
0.070476964,0
0.072801963,0
0.075124863,0
0.077447779,0
0.079772746,0
0.082095666,0
0.084420648,0
0.086743513,0
0.089066429,0
0.093572648,0
0.095897646,0
0.098220546,0
0.10054346,0
0.10286841,0
0.10519135,0
0.10751423,0
0.1098392,0
0.11216211,0
0.1144871,0
0.11681,0
0.1191329,0
0.12145787,0
0.12378076,0
0.1261037,0
0.12842866,0
0.13075157,0
0.13307655,0
0.13539945,0
0.13772233,0
0.14004731,0
0.14237025,0
0.14469313,0
0.1470181,0
0.14934101,0
0.151666,0
0.15398891,0
0.15631181,0
0.1586368,0
0.16095966,0
0.16328258,0
0.16560756,0
0.16793048,0
0.17025547,0
0.17257833,0
0.17708038,0
0.17940332,0
0.1817283,0
0.1840512,0
0.18637618,0
0.18869907,0
0.19102201,0
0.19334696,0
0.19566986,0
0.19799277,0
0.20031773,0
0.20264063,0
0.20496563,0
0.20728853,0
0.20961143,0
0.21193641,0
0.2142593,0
0.2165822,0
0.22210508,0
0.2263259,0
0.22865088,0
0.23097378,0
0.23329668,0
0.23562165,0
0.23794456,0
0.24026746,0
0.24259245,0
0.24491535,0
0.24724033,0
0.24956325,0
0.25188611,0
0.25421115,0
0.2587112,0
0.26103607,0
0.26335897,0
0.26568395,0
0.26800683,0
0.27032975,0
0.27265473,0
0.27497762,0
0.27730053,0
0.27962553,0
0.28194843,0
0.28427338,0
0.28659631,0
0.2889192,0
0.29124418,0
0.29356706,0
0.29588998,0
0.29821498,0
0.30053788,0
0.30286283,0
0.30518573,0
0.30750866,0
0.30983365,0
0.31215655,0
0.31447943,0
0.31680443,0
0.31912733,0
0.3214523,0
0.32377522,0
0.32609812,0
0.32842308,0
0.330746,0
0.3330689,0
0.3353939,0
0.33771677,0
0.34222518,0
0.34454798,0
0.34687295,0
0.34919588,0
0.35151877,0
0.35384373,0
0.35616665,0
0.35848953,0
0.36081453,0
0.36313743,0
0.3654624,0
0.3677853,0
0.3701082,0
0.37564358,0
0.37971646,0
0.38793308,0
0.39114348,0
0.41243706,0
0.4204933,0
0.43764315,0
0.45729925,0
0.47338875,0
0.4846366,0
0.50020103,0
0.5192926,0
0.54112575,0
0.5602902,0
0.57835048,0
0.58637128,0
0.59333788,0
0.60072325,0
0.62213141,0
0.64121673,0
0.66029781,0
0.67952476,0
0.69875588,0
0.71726408,0
0.73659105,0
0.75486593,0
0.77685323,0
0.79608852,0
0.81194673,0
0.82777788,0
0.83921323,0
0.84663195,0
0.85361525,0
0.85688395,0
0.860161,0
0.86712761,0
0.87039633,0
0.87352135,0
0.88050463,0
0.88383377,0
0.88717331,0
0.89035665,0
0.8936816,0
0.89700243,0
0.90018573,0
0.90352736,0
0.90688358,0
0.9115398,0
0.91617938,0
0.91968143,0
0.922871,0
0.92519598,0
0.92751885,0
0.92984176,0
0.93216675,0
0.93448963,0
0.93681463,0
0.93913755,0
0.94614791,0
0.94973953,0
0.95437911,0
0.95809781,0
0.96136235,0
0.96601858,0
0.97065813,0
0.9787206,0
0.98199558,0
0.99578713,0
1.0038246,0
1.0195994,0
1.0229807,0
1.0260515,0
1.0307223,0
1.0336931,0
1.0440972,0
1.0472513,0
1.054218,0
1.0574013,0
1.06042,0
1.0636075,0
1.0666471,0
1.0698512,0
1.0730616,0
1.076099,0
1.0807553,0
1.0840136,0
1.0871178,0
1.0904115,0
1.0935364,0
1.0981927,0
1.101576,0
1.1048864,0
1.1080655,0
1.1161029,0
1.1196842,0
1.1243425,0
1.1278841,0
1.1310924,0
1.1357487,0
1.1427111,0
1.1462694,0
1.1496152,0
1.1577443,0
1.161488,0
1.1648547,0
1.1671797,0
1.1695026,0
1.1718255,0
1.1749213,0
1.1798983,0
1.1838754,0
1.1872462,0
1.1923816,0
1.1966274,0
1.1998461,0
1.2021711,0
1.204494,0
1.2097814,0
1.2150981,0
1.2193877,0
1.2225772,0
1.2249001,0
1.227223,0
1.229548,0
1.2318709,0
1.2341959,0
1.2365188,0
1.2388417,0
1.2411667,0
1.2434896,0
1.2458125,0
1.2513291,0
1.2555646,0
1.2603978,0
1.2627228,0
1.2650456,0
1.2705768,0
1.2746477,0
1.2769706,0
1.2792935,0
1.2816184,0
1.2839414,0
1.2862663,0
1.2917621,0
1.2972579,0
1.3013246,0
1.3036475,0
1.3059703,0
1.3114703,0
1.3157037,0
1.3180265,0
1.3203515,0
1.3226744,0
1.3249973,0
1.3273223,0
1.3296452,0
1.3319702,0
1.3342931,0
1.336616,0
1.3389409,0
1.3437951,0
1.3461201,0
1.348443,0
1.3507679,0
1.3530909,0
1.3554138,0
1.3577387,0
1.3600617,0
1.3623846,0
1.3647096,0
1.3670324,0
1.3693574,0
1.3716803,0
1.3740032,0
1.3829323,0
1.3871552,0
1.3894802,0
1.3918031,0
1.394126,0
1.396451,0
1.3987739,0
1.4010968,0
1.4066155,0
1.4108571,0
1.41318,0
1.415505,0
1.4210195,0
1.424982,0
1.429732,0
1.4350445,0
1.4391112,0
1.4422465,0
1.4539318,0
1.4643672,0
1.4757838,0
1.482765,0
1.4965628,0
1.5069085,0
1.5177001,0
1.5246543,0
1.5316313,0
1.5431395,0
1.5582102,0
1.5628873,0
1.5732893,0
1.5813434,0
1.5883204,0
1.5929788,6886.689453
1.606837,0
1.6148786,0
1.633968,0
1.6420451,0
1.6490346,0
1.667197,0
1.6786511,0
1.7004342,0
1.7183924,0
1.7368319,0
1.7543109,0
1.7761691,0
1.7930273,0
1.8121584,0
1.8301833,0
1.8496207,0
1.8717893,0
1.89096,0
1.8990287,0
1.9162306,0
1.9360597,0
1.9585095,0
1.9665657,0
1.9863968,0
2.0027904,0
2.0224361,0
2.0448526,0
2.0641608,0
2.0802107,0
2.0882982,0
2.1073481,0
2.1292145,0
2.1486477,0
2.1684705,0
2.188512,0
2.1994745,0
2.2043432,0
2.2115577,0
2.222291,0
2.2295097,0
2.2334805,0
2.2367284,0
2.2390534,0
2.2413763,0
2.2460846,0
2.2576491,0
2.2685115,0
2.2801531,0
2.2873635,0
2.3013488,0
2.3051258,0
2.321484,0
2.3245528,0
2.3326423,0
2.3358964,0
2.3394985,0
2.3430943,0
2.3500776,0
2.3605046,0
2.3674837,0
2.3812982,0
2.3893857,0
2.4031751,0
2.4102334,0
2.4240146,0
2.4309812,0
2.4489831,0
2.4518248,0
2.458856,0
2.4734913,0
2.4804413,0
2.4972953,0
2.5162014,0
2.5270472,0
2.5351388,0
2.5432367,0
2.546645,0
2.5498387,0
2.5531699,0
2.557849,0
2.5614282,0
2.5694844,0
2.5732073,0
2.5764135,0
2.5787364,0
2.5810614,0
2.5859114,0
2.5897717,0
2.593855,0
2.5961779,0
2.6077175,0
2.6115424,0
2.6149132,0
2.6172382,0
2.6195611,0
2.621884,0
2.624209,0
2.6265319,0
2.6288548,0
2.6311798,0
2.6335027,0
2.6358256,0
2.6381506,0
2.6404735,0
2.6427984,0
2.6479401,0
2.6551963,0
2.6667254,0
2.6702753,0
2.673967,0
2.6820232,0
2.6900773,0
2.6933273,0
2.6966543,0
2.7047251,0
2.7151104,0
2.7265645,0
2.734602,0
2.7544789,0
2.7591685,0
2.7749517,0
2.7887474,0
2.8025536,0
2.8057077,0
2.8090848,0
2.8171493,0
2.8218868,0
2.8289221,0
2.8371346,0
2.8411658,0
2.8455533,0
2.8478783,0
2.8502012,14779.97656
2.8525261,0
2.8576886,0
2.8620115,0
2.8652719,0
2.8675969,0
2.8699198,0
2.8722427,0
2.8745677,0
2.8768906,0
2.8792155,0
2.8815384,0
2.887028,0
2.8909196,0
2.8932425,0
2.8955675,0
2.9039133,0
2.9075945,0
2.9108736,0
2.9131965,0
2.9155195,0
2.9178444,0
2.9201673,0
2.9224902,0
2.9263881,0
2.9287131,0
2.931036,0
2.9391839,0
2.9427026,0
2.9460192,0
2.9483442,0
2.9506671,0
2.95299,0
2.955315,0
2.9576379,0
2.9599608,0
2.9622858,0
2.9646087,0
2.9669336,0
2.9692566,0
2.9715795,0
2.9739044,0
2.9762274,0
2.9785523,0
2.9808752,0
2.9831981,0
2.9855231,0
2.987846,0
2.9901689,0
2.9924939,0
2.9948168,0
2.9971397,0
2.9994647,0
3.0081771,0
3.012923,0
3.0158416,0
3.0246229,0
3.0289124,0
3.032252,0
3.0345769,0
3.0368998,0
3.0392228,0
3.0415477,0
3.0438706,0
3.0461956,0
3.0485185,0
3.0508414,0
3.0531664,0
3.0583414,0
3.0618414,0
3.0648725,0
3.0671954,0
3.0786558,0
3.0815099,0
3.0995702,0
3.1066139,0
3.1136576,0
3.1166243,0
3.1236409,0
3.1307617,0
3.1337096,0
3.1366721,0
3.143697,0
3.1506761,0
3.1589511,0
3.1617781,0
3.1687531,0
3.1768947,0
3.1842613,0
3.1912383,0
3.1941967,0
3.1973612,0
3.2004049,0
3.2036487,0
3.2069424,0
3.2101299,0
3.2134986,0
3.2167298,0
3.220134,0
3.2235277,0
3.2267527,0
3.2348943,0
3.2385401,0
3.2417317,0
3.2498775,0
3.2532754,0
3.2568816,0
3.2726336,0
3.2796627,0
3.2912314,0
3.3027209,0
3.3055271,0
3.3160979,0
3.3190728,0
3.3261666,0
3.3291457,0
3.3352352,0
3.3380498,0
3.3412831,0
3.3527413,0
3.364183,0
3.3712287,0
3.3782829,0
3.3813099,0
3.3845557,0
3.3878036,0
3.3948515,0
3.3980619,0
3.4141638,0
3.4223346,0
3.4331158,0
3.4366033,0
3.4412428,0
3.4482594,0
3.4519907,0
3.455199,0
3.4575219,0
3.4598469,0
3.4621698,0
3.4644926,0
3.4668176,0
3.4751051,0
3.4823926,0
3.4863071,0
3.4896175,0
3.497732,0
3.501407,0
3.5129277,0
3.5238443,0
3.531963,0
3.5352422,0
3.5385588,0
3.5432317,0
3.547965,0
3.55129,0
3.5546275,0
3.5578274,0
3.5624836,0
3.5660879,0
3.5694815,0
3.5726981,0
3.577371,0
3.5812335,0
3.5844606,0
3.5867855,0
3.5891085,0
3.5914313,0
3.5937563,0
3.5960792,0
3.5984042,0
3.6007271,0
3.60305,0
3.605375,0
3.6076979,0
3.6100208,0
3.6123458,0
3.6146687,0
3.6169937,0
3.6193166,0
3.6216394,0
3.627227,0
3.6314811,0
3.633806,0
3.636129,0
3.6384519,0
3.6407768,0
3.6430997,0
3.6454247,0
3.6477476,0
3.6500705,0
3.6523955,0
3.6547184,0
3.6570413,0
3.6593663,0
3.6616892,0
3.6640142,0
3.6663371,0
3.66866,0
3.6769953,0
3.684437,0
3.6983368,0
3.7098784,0
3.7203721,0
3.7318408,0
3.7388512,0
3.7458865,0
3.7505927,0
3.7576573,0
3.761251,0
3.7643885,0
3.7677489,0
3.7711051,0
3.7744842,0
3.7778175,0
3.7810425,0
3.7833675,0
3.7856904,0
3.7880133,0
3.7903383,0
3.7926612,0
3.7949862,0
3.7973091,0
3.799632,0
3.801957,0
3.8042798,0
3.8066028,0
3.8089277,0
3.8112506,0
3.8135756,0
3.8158985,0
3.8182214,0
3.8205464,0
3.8228693,0
3.8251922,0
3.8275172,0
3.8298401,0
3.8321651,0
3.834488,0
3.8368109,0
3.8391359,0
3.8439692,0
3.8462921,0
3.848617,0
3.8541816,0
3.8584336,0
3.8607565,0
3.8630794,0
3.8686877,0
3.8741856,0
3.8782502,0
3.8805751,0
3.882898,0
3.8852397,0
3.8875647,0
3.8898876,0
3.8922126,0
3.8945355,0
3.8968584,0
3.8991833,0
3.9015187,0
3.9038437,0
3.9061666,0
3.9084895,0
3.9108145,0
3.9164207,0
3.9204853,0
3.9253165,0
3.9276415,0
3.9331456,0
3.9373497,0
3.9406122,0
3.9429372,0
3.9452601,0
3.947583,0
3.949908,0
3.9522309,0
3.9545538,0
3.9568788,0
3.9592017,0
3.9615267,0
3.9638496,0
3.9661725,0
3.9684974,0
3.9708204,0
3.9731433,0
3.9754682,0
3.9777911,0
3.9801161,0
3.982439,0
3.9847619,0
3.9870869,0
3.9894098,0
3.9917452,0
3.9940702,0
3.9963931,0
3.998716,0
4.001041,0
4.0033639,0
4.0056868,0
4.0105285,0
4.0128513,0
4.0151763,0
4.0174992,0
4.0198221,0
4.0221471,0
4.02447,0
4.0267949,0
4.0291262,0
4.0314491,0
4.0337741,0
4.036097,0
4.0384199,0
4.043924,0
4.0480886,0
4.0504114,0
4.0557135,0
4.059599,0
4.0627551,0
4.065078,0
4.0674009,0
4.0697259,0
4.0720488,0
4.0743717,0
4.0791217,0
4.0827945,0
4.085905,0
4.0882278,0
4.0920903,0
4.0944132,0
4.0967382,0
4.0990611,0
4.101384,0
4.103709,0
4.1060319,0
4.1083569,0
4.1106798,0
4.1187839,0
4.1225172,0
4.1257943,0
4.1281171,0
4.1328609,0
4.1399254,0
4.1434171,0
4.1467149,0
4.1498504,0
4.1521753,0
4.1544982,0
4.1592274,0
4.1625648,0
4.1657335,0
4.1703731,0
4.1737064,0
4.1770397,0
4.1801835,0
4.1835147,0
4.1866793,0
4.1900375,0
4.1947438,0
4.1979854,0
4.2013416,0
4.2046604,0
4.2078791,0
4.2125187,0
4.216129,0
4.2193249,0
4.2216477,0
4.2239727,0
4.2287185,0
4.2325685,0
4.2358206,0
4.2381455,0
4.2404684,0
4.2427934,0
4.2451163,0
4.2474392,0
4.2497642,0
4.2520871,0
4.25441,0
4.2588829,0
4.2612079,0
4.2635308,0
4.2658537,0
4.2681787,0
4.2705016,0
4.2728245,0
4.2751494,0
4.2774724,0
4.2797973,0
4.2821202,0
4.2844431,0
4.2867681,0
4.289091,0
4.2914139,0
4.2937389,0
4.2960722,0
4.2983951,0
4.3007201,0
4.303043,0
4.3053659,0
4.3076909,0
4.3100138,0
4.3123388,0
4.3146617,0
4.3169846,0
4.3193096,0
4.3216324,0
4.3331282,0
4.3359907,0
4.3580176,0
4.3660925,0
4.3871278,0
4.4030131,0
4.4191297,0
4.4290984,0
4.4360962,0
4.4467024,0
4.4496857,0
4.452517,0
4.459544,0
4.4625773,0
4.4656064,0
4.4685168,0
4.4716064,0
4.4745835,0
4.4777501,0
4.4809667,0
4.4856771,0
4.4926625,0
4.496275,0
4.5043791,0
4.5114249,0
4.5224019,0
4.5257602,0
4.5290622,0
4.5407517,0
4.5437642,0
4.5637766,0
4.5755057,0
4.5860368,0
4.5976263,0
4.6084346,0
4.6154596,0
4.6182908,0
4.628697,0
4.6317344,0
4.6346178,0
4.6376802,0
4.6405948,0
4.6436823,0
4.6506677,0
4.6538218,0
4.660853,0
4.6641134,0
4.6722008,0
4.6758154,0
4.6789778,0
4.6836383,0
4.6870653,0
4.690484,0
4.6937153,0
4.6960402,0
4.6983631,0
4.7033298,0
4.7085131,0
4.7128422,0
4.7182005,0
4.723663,0
4.7279775,0
4.731115,0
4.73344,0
4.7357629,0
4.7380858,0
4.7434128,0
4.747519,0
4.7498419,0
4.7521669,0
4.7544898,0
4.7590127,0
4.7641064,0
4.7679064,0
4.7710397,0
4.7757772,0
4.7791543,0
4.7824188,0
4.79375,0
4.7984728,0
4.8055291,0
4.8087894,0
4.8120499,0
4.8151561,0
4.8184456,0
4.8215581,0
4.8248872,0
4.8282205,0
4.8314122,0
4.8429996,0
4.8466142,0
4.8494016,0
4.8540391,0
4.8570974,0
4.8635661,0
4.8717453,0
4.874539,0
4.8914159,0
4.9025471,0
4.9208053,0
4.9289115,0
4.9473364,0
4.9503051,0
4.9607155,0
4.9713737,0
4.9784403,0
4.9855028,0
4.9902465,0
4.9935756,0
4.9967902,0
5.0001839,0
5.0034485,0
5.0072485,0
5.0095714,0
5.0177171,0
5.0210984,0
5.0243275,0
5.0313504,0
5.034267,0
5.0412462,0
5.0442711,0
5.0513336,0
5.0543315,0
5.0573273,0
5.0601377,0
5.0671626,0
5.0752834,0
5.0782751,0
5.0811,0
5.0881062,0
5.0911041,0
5.0957437,0
5.102752,0
5.1057852,0
5.1086623,0
5.1117102,0
5.114604,0
5.1176664,0
5.120606,0
5.1237331,0
5.1268872,0
5.1298893,0
5.1331288,0
5.136258,0
5.1395934,0
5.14301,0
5.1462725,0
5.1497266,0
5.1530579,0
5.1553828,0
5.1577057,0
5.1600286,0
5.1623536,0
5.1646765,0
5.1670015,0
5.1693244,3140.121094
5.1716473,0
5.175341,0
5.177666,0
5.1799889,0
5.1823118,0
5.1846368,0
5.1869639,0
5.1892889,0
5.1916117,0
5.1939346,0
5.19952,0
5.2037367,0
5.2060596,0
5.2083845,0
