CycID	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	LS_pvalue	LS_BH.Q	LS_period	LS_adjphase	LS_amplitude	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP
PF00308.21	0.13380658436214	1	24	3	41.9084511539737	0.49647491626434	1	24	1.00007376852182	319.042098555238	0.246566394113988	1	24	2.00003688426091	216.591083333333	42.4616977274605	0.196045456137786
PF08299.14	0.13380658436214	1	24	3	41.9084511539737	0.49647491626434	1	24	1.00007376852182	319.042098555238	0.246566394113988	1	24	2.00003688426091	216.591083333333	42.4616977274605	0.196045456137786
PF01527.23	0.898239271017049	1	20	15	63.5597072405156	0.984025243663018	1	20	9.5807903100081	2534.03464084436	0.992982068106446	1	20	12.2903951550041	2095.10943496947	292.274285510611	0.139503111690617
PF01025.22	0.898239271017049	1	20	13	37.4017060840812	0.868334262128311	1	21.2830188679245	13.4148698586458	230.285743083981	0.973792886583771	1	20.6415094339622	13.2137510382711	180.038326934653	55.0475666235601	0.305754711015174
PF00012.23	1	1	20	1	107.567911981222	0.999996974364126	1	20	5.07863537385615	1139.227806991	0.999999999995423	1	20	3.03931768692808	1065.12198572613	36.8495261158692	0.0345965312984762
PF06100.14	1	1	20	17	44.0216397695497	0.916635302523827	1	20	16.0142543076175	115.845479735342	0.996424365999996	1	20	16.5071271538087	69.0666387222969	57.6043056373424	0.83403951173819
PF08220.15	1	1	20	7	57.225444694646	0.999432526623267	1	20	7.40274453019695	871.401174471255	0.999999838956518	1	20	7.20137226509847	755.456779221526	118.463152751879	0.156809967175027
PF00455.25	1	1	20	9	155.654708635814	0.880947860579929	1	20	7.47086981419734	656.300551176841	0.992614024848444	1	20	8.23543490709867	520.289809794916	116.67540649638	0.224250800803442
PF00294.27	0.898239271017049	1	24	23	312.811312074867	0.767121860090043	1	24	20.9999263197062	2052.37011569284	0.945684119986828	1	24	21.9999631598531	1575.90433333333	266.918887294773	0.169375057640833
PF00359.25	1	1	20	17	69.6592103350304	0.978165988671864	1	20	13.2612772820522	264.494959879629	0.999759883984348	1	20	15.1306386410261	234.330111649524	47.8030846728703	0.203998898546879
PF02302.20	1	1	24	19	114.928363243288	0.99990385144754	1	24	12.9078093570352	622.117391937848	0.99999999537758	1	24	15.9539046785176	433.341416666667	30.6218698014723	0.0706645352226445
PF02378.21	0.00173133450911229	1	24	5	309.131528385572	0.103730671068171	1	23.2098765432099	4.37463408969053	2393.50356064464	0.00172854543285927	1	23.604938271605	4.68339570989368	2074.18818385919	341.445795392083	0.164616594602712
PF13396.9	1	1	20	1	69.6818377520283	0.990831235865733	1	20.5839416058394	5.13560918931185	692.038957145183	0.999957837826023	1	20.2919708029197	3.03868110452103	569.281111017681	57.8485951741589	0.101616923615725
