CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
PF00308.21	1.00007376852182	319.042098555238	1	2.49871787328767	24	0.49647491626434	12	8	0.3	1
PF08299.14	1.00007376852182	319.042098555238	1	2.49871787328767	24	0.49647491626434	12	8	0.3	1
PF01527.23	9.5807903100081	2534.03464084436	48	0.906962424954034	20	0.984025243663018	12	8	0.3	1
PF01025.22	13.4148698586458	230.285743083981	31	1.49668677103344	21.2830188679245	0.868334262128311	12	8	0.3	1
PF00012.23	5.07863537385615	1139.227806991	48	0.228434765070975	20	0.999996974364126	12	8	0.3	1
PF06100.14	16.0142543076175	115.845479735342	48	1.32062545647383	20	0.916635302523827	12	8	0.3	1
PF08220.15	7.40274453019695	871.401174471255	48	0.499003879094282	20	0.999432526623267	12	8	0.3	1
PF00455.25	7.47086981419734	656.300551176841	48	1.45423307523849	20	0.880947860579929	12	8	0.3	1
PF00294.27	20.9999263197062	2052.37011569284	1	1.79259269027193	24	0.767121860090043	12	8	0.3	1
PF00359.25	13.2612772820522	264.494959879629	48	0.967584033450827	20	0.978165988671864	12	8	0.3	1
PF02302.20	12.9078093570352	622.117391937848	1	0.37786802446242	24	0.99990385144754	12	8	0.3	1
PF02378.21	4.37463408969053	2393.50356064464	9	4.29797833281213	23.2098765432099	0.103730671068171	12	8	0.3	1
PF13396.9	5.13560918931185	692.038957145183	40	0.812548279343741	20.5839416058394	0.990831235865733	12	8	0.3	1
PF13091.9	16.5923476440929	1154.03323648146	22	0.582370384841673	22.03125	0.998558306278864	12	8	0.3	1
PF10298.12	2.22095895785067	267.51754917856	36	3.65409022824073	20.8888888888889	0.189259780712633	12	8	0.3	1
PF14527.9	3.25644378734121	273.680851796595	42	3.63249468245728	20.4347826086957	0.193014614069807	12	8	0.3	1
PF02650.17	3.25644378734121	273.680851796595	42	3.63249468245728	20.4347826086957	0.193014614069807	12	8	0.3	1
PF01226.20	12.933722610778	105.288541633771	1	0.0785963896353334	24	0.999999998934437	12	8	0.3	1
PF04167.16	12.4057555254885	287.482994764203	48	1.56732037095819	20	0.846130203263601	12	8	0.3	1
PF03462.21	7.51086829124515	548.459090853527	1	0.226490782937605	24	0.999997153098374	12	8	0.3	1
PF00472.23	7.43922068159168	608.275130372728	1	0.350055574455473	24	0.999942096020734	12	8	0.3	1
PF00268.24	14.1573371641574	199.414271231665	48	1.17147039624659	20	0.948567069442189	12	8	0.3	1
PF08343.13	13.1690524274678	39.7096426960337	48	0.574345017392241	20	0.998671790207075	12	8	0.3	1
PF00317.24	13.1055119793435	54.2037437253131	1	0.575125003175748	24	0.998661076038499	12	8	0.3	1
PF02867.18	13.105511433836	54.2037437252983	1	0.748789021351223	24	0.994044920720834	12	8	0.3	1
PF07972.14	12.999997877088	70.3344999999504	48	2.65909629714988	20	0.440473364999092	12	8	0.3	1
PF02518.29	20.9999263197062	12468.1966304305	5	1.62299585758087	23.5983263598326	0.827655645917342	12	8	0.3	1
PF00204.28	13.0726896106113	681.92190112951	48	0.342535994429088	20	0.999949930579885	12	8	0.3	1
PF01751.25	12.8740111868191	1815.44331788062	1	1.4040855050002	24	0.895081427751696	12	8	0.3	1
PF00986.24	13.0854054416189	662.472409160917	48	0.28970821754697	20	0.999983984019175	12	8	0.3	1
PF00929.27	8.4868835267479	869.716918536107	1	1.49985938341083	24	0.867368782169385	12	8	0.3	1
PF00521.23	5.79121836689015	581.532602869323	48	0.619275461296418	20	0.99793642351357	12	8	0.3	1
PF03989.16	5.47583154137407	2570.35692441217	48	1.57620428254442	20	0.843236907069099	12	8	0.3	1
PF01544.21	9.53366888251712	71.4342615375075	1	3.17450940781665	24	0.289447214502056	12	8	0.3	1
PF13231.9	7.81652089896951	804.942207041908	48	1.43340371751333	20	0.886921881220539	12	8	0.3	1
PF00535.29	1.00007368029384	5961.52199475278	1	3.03924268451591	24	0.324592509012687	12	8	0.3	1
PF00072.27	20.9999263197062	19021.3645551425	2	3.56376374584505	23.8983050847458	0.205409733959304	12	8	0.3	1
PF00486.31	14.8019205170301	9209.27493141454	46	3.04946688206549	20.1428571428571	0.321824150960566	12	8	0.3	1
PF13522.9	3.34187443992224	477.677060343895	48	1.4706754685481	20	0.876131065277376	12	8	0.3	1
PF01380.25	1.00007368029384	1502.91248629147	1	1.91651802037087	24	0.720030818261227	12	8	0.3	1
PF06114.16	9.62768804205417	385.066866942483	1	1.56017790357983	24	0.848440672304998	12	8	0.3	1
PF01381.25	9.09781611537004	6070.93010999302	25	1.22640197330431	21.7760617760618	0.937819552513694	12	8	0.3	1
PF10543.12	13.2154977056433	81.2191633876932	1	0.457778958035663	24	0.999668649637296	12	8	0.3	1
PF10552.12	14.6369201503829	51.9541649445095	23	1.3945665396926	21.9455252918288	0.897666534820321	12	8	0.3	1
PF07193.14	20.9999263197062	0	NA	NA	NA	1	12	8	NA	1
PF06563.14	20.9999263197062	0	NA	NA	NA	1	12	8	NA	1
PF00004.32	5.37572255136203	1967.43632434453	24	2.11282781019939	21.8604651162791	0.64328318677822	12	8	0.3	1
PF16193.8	6.44975436531378	211.061831425787	48	1.50690184481492	20	0.865214580425676	12	8	0.3	1
PF12002.11	6.44975436531378	211.061831425787	48	1.50690184481492	20	0.865214580425676	12	8	0.3	1
PF00692.22	8.91991592021115	269.483130422832	1	0.704240736950517	24	0.995735382292609	12	8	0.3	1
PF07097.14	8.99998272984512	46.6814999987163	1	0.55621712937816	24	0.99890256493951	12	8	0.3	1
PF06605.14	20.9999263197062	283.546421578928	1	1.66309755404206	24	0.813874513949195	12	8	0.3	1
PF18013.4	9.14028971820763	18.211190431465	1	1.02591325675368	24	0.971309276965842	12	8	0.3	1
PF01551.25	6.93070182075278	1319.03752417494	47	1.59292170075974	20.0711743772242	0.837735028559429	12	8	0.3	1
PF10651.12	12.9555846517024	204.208151569999	1	0.500400426378713	24	0.999422661326994	12	8	0.3	1
PF00005.30	12.5158527154228	24812.0918524573	1	0.258892262854057	24	0.999992673304786	12	8	0.3	1
PF12848.10	8.29295299131865	818.667189114449	48	1.14706697902988	20	0.952958517824333	12	8	0.3	1
PF04688.16	12.9999978770881	45.3069999999681	48	1.23055432316666	20	0.936958705710895	12	8	0.3	1
PF06971.16	5.45699768462131	201.432899544051	48	1.58333779693434	20	0.840898261201581	12	8	0.3	1
PF02629.22	5.43823517424193	211.779864733324	48	1.27295712864243	20	0.927781506782237	12	8	0.3	1
PF00156.30	1.00006831676939	2066.10525024949	1	1.93420090072672	24	0.713187035045707	12	8	0.3	1
PF01979.23	1.00005292476501	1490.29368690666	30	1.97387870021904	21.3636363636364	0.697754285422839	12	8	0.3	1
PF00730.28	13.4251035351431	567.066425567004	1	2.00029633437348	24	0.687433075415697	12	8	0.3	1
PF10576.12	8.82334348915465	44.3530047689929	48	0.408960887260131	20	0.999838863292185	12	8	0.3	1
PF01784.21	8.8660012420557	330.715741173685	12	1.9570261815542	22.9268292682927	0.704320652202374	12	8	0.3	1
PF01521.23	12.8894340217112	107.157943878817	1	0.733402161549384	24	0.994676377041629	12	8	0.3	1
PF08282.15	5.19922934865833	1595.67117116262	37	1.73337823683297	20.8118081180812	0.788883662128557	12	8	0.3	1
PF01966.25	1.00007368029384	3874.10233293136	1	3.75862522519253	24	0.171994168432134	12	8	0.3	1
PF00829.24	5.77521398580123	109.235519523993	1	0.405642975784977	24	0.999847149950469	12	8	0.3	1
PF06325.16	12.9482776056984	205.801779202916	48	1.01247513098509	20	0.972999159996216	12	8	0.3	1
