CHROMATOGRAM,
p6_f9_gudca_az-52_48h.raw,
Data points: 2534,
Time,Intensity
0.003698217,0
0.008310699,0
0.011456449,0
0.013781416,0
0.016104316,0
0.018429298,0
0.020752215,0
0.023075115,0
0.025400101,0
0.027722998,0
0.030045882,0
0.032370884,0
0.034693749,0
0.037018731,0
0.049310334,0
0.053535318,0
0.055858198,0
0.058183184,0
0.060506101,0
0.062829001,0
0.065153983,0
0.067476868,0
0.069799784,0
0.072124735,0
0.074447651,0
0.079987199,0
0.084214265,0
0.086537166,0
0.088862132,0
0.093693351,0
0.096016251,0
0.098339167,0
0.10066413,0
0.10298705,0
0.10530995,0
0.10763493,0
0.10995782,0
0.1122828,0
0.1146057,0
0.1169286,0
0.1192536,0
0.1215765,0
0.1238994,0
0.12622438,0
0.12854728,0
0.13087228,0
0.13319516,0
0.13551805,0
0.13784305,0
0.14016595,0
0.14248886,0
0.14481381,0
0.14713672,0
0.14946172,0
0.15178462,0
0.1541075,0
0.1564325,0
0.15875538,0
0.1610783,0
0.16340328,0
0.16572618,0
0.16805115,0
0.17037405,0
0.17269697,0
0.17752818,0
0.17985316,0
0.18217606,0
0.18449896,0
0.18682395,0
0.18914683,0
0.19147183,0
0.19379473,0
0.19611763,0
0.19844262,0
0.20076553,0
0.20308842,0
0.20541338,0
0.20773628,0
0.21323417,0
0.21873002,0
0.22296121,0
0.2252841,0
0.2276091,0
0.22993198,0
0.23225487,0
0.23457986,0
0.23690275,0
0.23922565,0
0.24155065,0
0.24387353,0
0.24937145,0
0.25361305,0
0.25593803,0
0.26077553,0
0.2631005,0
0.2654234,0
0.26774628,0
0.27007128,0
0.27239418,0
0.27471913,0
0.27704207,0
0.27936497,0
0.28168995,0
0.28401285,0
0.28633575,0
0.28866073,0
0.29098363,0
0.29330861,0
0.29563152,0
0.29795442,0
0.3002794,0
0.3026023,0
0.30492728,0
0.30725018,0
0.30957308,0
0.31189808,0
0.31422097,0
0.31654595,0
0.31886887,0
0.32119175,0
0.32351672,0
0.32583963,0
0.32816251,0
0.33048752,0
0.33281042,0
0.33513542,0
0.3374583,0
0.34228965,0
0.3446145,0
0.3469374,0
0.34926032,0
0.35158528,0
0.3539082,0
0.35623318,0
0.35855607,0
0.360879,0
0.36320395,0
