CHROMATOGRAM,
p6_d9_gudca_lcag-95_bsh1208_48h.raw,
Data points: 2576,
Time,Intensity
0.003738351,0
0.008367418,0
0.01151535,0
0.013838219,0
0.016163201,0
0.018486117,0
0.020809034,0
0.023134016,0
0.025456901,0
0.027779785,0
0.030104767,0
0.032427684,0
0.034752634,0
0.037075551,0
0.049340084,0
0.053583899,0
0.055908767,0
0.058231651,0
0.060556649,0
0.06287955,0
0.06520245,0
0.067527417,0
0.069850317,0
0.072173217,0
0.0744982,0
0.07682112,0
0.079146118,0
0.081469003,0
0.083791903,0
0.086116901,0
0.08843977,0
0.093275185,0
0.095600135,0
0.097923051,0
0.10024803,0
0.10257093,0
0.10489383,0
0.10721882,0
0.1095417,0
0.11186462,0
0.11418962,0
0.11651248,0
0.11883748,0
0.1211604,0
0.1234833,0
0.12580825,0
0.12813117,0
0.13045407,0
0.13277905,0
0.13510195,0
0.13742695,0
0.13974984,0
0.14207274,0
0.14439772,0
0.1467206,0
0.14904352,0
0.1513685,0
0.15369142,0
0.15601638,0
0.15833927,0
0.16066219,0
0.16298715,0
0.16531008,0
0.16763298,0
0.16995797,0
0.17228087,0
0.1771226,0
0.17944539,0
0.18176829,0
0.18409327,0
0.18641618,0
0.18873908,0
0.19106407,0
0.19338697,0
0.19570987,0
0.19803485,0
0.20035773,0
0.20268273,0
0.20500565,0
0.2073285,0
0.21282848,0
0.21706187,0
0.2193847,0
0.22170967,0
0.22403257,0
0.22953045,0
0.23376178,0
0.23608458,0
0.23840957,0
0.24073247,0
0.24305535,0
0.24538033,0
0.24770323,0
0.25002824,0
0.25235114,0
0.25467403,0
0.25951149,0
0.26183648,0
0.26415937,0
0.26648227,0
0.26880727,0
0.27113017,0
0.27345515,0
0.27577805,0
0.27810095,0
0.2804259,0
0.28274883,0
0.28507173,0
0.2873967,0
0.28971962,0
0.29204462,0
0.29436752,0
0.29669038,0
0.2990154,0
0.30133829,0
0.30366117,0
0.30598617,0
0.30830909,0
0.31063405,0
0.31295695,0
0.31527985,0
0.31760482,0
0.31992774,0
0.32225272,0
0.3245756,0
0.32689852,0
0.32922352,0
0.3315464,0
0.33386929,0
0.3361943,0
0.3385172,0
0.34335258,0
0.34567755,0
0.34800045,0
0.35032335,0
0.35264833,0
0.35497123,0
0.35729622,0
0.35961912,0
0.36194202,0
0.364267,0
0.36658988,0
0.36891282,0
0.37123777,0
0.37356069,0
0.37588567,0
0.37820855,0
0.38371268,0
0.387946,0
0.3902689,0
0.39259388,0
0.40149382,0
0.4047792,0
0.42041244,0
0.43893938,0
0.4552101,0
0.47210998,0
0.49014527,0
0.50897432,0
0.52289087,0
0.53916367,0
0.55487813,0
0.57312385,0
0.59220703,0
0.6139173,0
0.62818807,0
0.63970467,0
0.6548191,0
0.66932944,0
0.68877305,0
0.7052646,0
0.71873535,0
0.73435397,0
0.75009552,0
0.76522458,0
0.78363487,0
0.80132017,0
0.81941795,0
0.83852823,0
0.85992184,0
0.8791696,0
0.89824448,0
0.91634643,0
0.93457547,0
0.95650242,0
0.9751481,0
0.99276673,0
1.0086646,0
1.0295602,0
1.0476809,0
1.0667683,0
1.0838369,0
1.1007847,0
1.1220221,0
1.1401053,0
1.1592989,0
1.1773904,0
1.1964986,0
1.2156776,0
1.2347109,0
1.2538941,0
1.2758897,0
1.2951209,0
1.3144166,0
1.3325748,0
1.3519767,0
1.371262,0
1.390441,0
1.4096825,0
1.4289283,0
1.4488344,0
1.4680509,0
1.4872008,0
1.5064777,0
1.5251338,0
1.544092,0
1.5606127,0
1.576223,0
1.5943833,0
1.6087353,0
1.6230686,0
1.6338581,0
1.6448247,0
1.6625454,0
1.6733078,0
1.6846577,0
1.6970451,0
1.7074263,0
1.7170554,0
1.7275866,0
1.7416073,0
1.7551218,0
1.7708362,0
1.7844903,0
1.7973549,0
1.8074027,0
1.8197985,0
1.8333817,0
1.8465462,0
1.8621335,0
1.8744064,0
1.8896708,0
1.9036249,0
1.9153769,0
1.9281623,0
1.9447829,0
1.9560725,0
1.969939,0
1.9865639,0
2.00112,0
2.0119825,0
2.0225533,0
2.0348323,0
2.0465093,0
2.059203,0
2.0771653,0
2.0881674,0
2.1043839,0
2.1220546,0
2.1400149,0
2.1567148,0
2.1694647,0
2.1824646,0
2.1994332,0
2.2158352,0
2.2316309,0
2.2456163,0
2.2621265,0
2.2844847,0
2.3037679,0
2.3208761,0
2.3378927,0
2.3573488,0
2.3761466,0
2.3887465,0
2.4082505,0
2.4268004,0
2.446944,0
2.4664959,0
2.4831437,0
2.5026165,0
2.5239622,0
2.53931,0
2.5590307,0
2.5753389,0
2.5946471,0
2.6145511,0
2.6312906,0
2.6475405,0
2.6669487,0
2.6863569,0
2.7085713,0
2.7284337,0
2.7476835,0
2.7672647,0
2.7867291,0
2.8063998,0
2.8260767,0
2.8454891,0
2.8677348,0
2.8873638,0
2.9069053,0
2.9267698,0
2.9491675,0
2.9654049,0
2.9852444,0
2.9970339,0
3.0169358,0
3.0394065,0
3.0441481,0
3.0636251,0
3.0798375,0
3.099404,0
3.1069164,0
3.126533,0
3.1348037,0
3.1465328,0
3.1606202,0
3.1676285,0
3.1709368,0
3.1817951,0
3.1850617,0
3.1957346,0
3.2063116,0
3.220399,0
3.2398155,0
3.2593279,0
3.2799173,0
3.2992421,0
3.3188149,0
3.3367336,0
3.3561626,0
3.3695125,0
3.3885228,0
3.4080331,0
3.4274787,0
3.4499119,0
3.4696347,0
3.4892991,0
3.508974,0
3.5312405,0
3.5506466,0
3.5701652,0
3.589811,0
3.6118962,0
3.620117,0
3.6396981,0
